timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524969895208056894,3.14247,-3.88907,-11.9987,0.358567,0.79868,-0.0936502,-0.388689,-0.243469
1524969895215906278,3.14279,-3.88882,-12.0032,0.362706,0.798697,-0.0936125,-0.388664,-0.243447
1524969895224426803,2.74412,-2.50695,-15.5876,0.477916,0.823259,-0.0475073,-0.355673,-0.20482
1524969895241042246,2.75221,-4.17437,-5.79646,0.174201,0.759548,-0.179486,-0.44748,-0.274793
1524969895249094081,2.75219,-4.17438,-5.7964,0.17419,0.759547,-0.179488,-0.447481,-0.274794
1524969895257899022,3.15353,-3.88011,-11.494,0.343591,0.798076,-0.0969697,-0.392065,-0.243091
1524969895265927254,3.15352,-3.88012,-11.4941,0.343201,0.798076,-0.0969687,-0.392064,-0.243092
1524969895274310207,2.20499,-1.98046,-15.0544,0.457902,0.825399,-0.0390951,-0.346411,-0.202391
1524969895282707609,2.30924,-2.14536,-14.8519,0.44904,0.823231,-0.0429112,-0.349871,-0.206695
1524969895299282041,2.86018,-4.10114,-8.1019,0.244892,0.778304,-0.138368,-0.41771,-0.263467
1524969895307979855,2.8933,-4.07785,-8.9961,0.272388,0.783059,-0.126493,-0.40901,-0.260379
1524969895316032353,2.68437,-2.23528,-15.4392,0.466384,0.828222,-0.0426245,-0.35304,-0.193154
1524969895324356340,2.73128,-2.32906,-15.1517,0.46015,0.826737,-0.0452308,-0.355435,-0.19621
1524969895340724142,3.08415,-3.93548,-10.773,0.325023,0.794339,-0.104288,-0.396455,-0.24772
1524969895349416744,3.0491,-3.9627,-10.2073,0.303712,0.791812,-0.110077,-0.40043,-0.25023
1524969895357765627,2.7897,-2.73683,-15.7234,0.477421,0.819194,-0.051551,-0.357725,-0.213719
1524969895365942229,2.79015,-2.73796,-15.7187,0.474233,0.819175,-0.0515873,-0.357756,-0.213752
1524969895374247253,2.8611,-4.1005,-9.01661,0.272948,0.782106,-0.12713,-0.408354,-0.262145
1524969895390905533,3.00151,-3.99887,-9.48603,0.281797,0.788184,-0.118285,-0.405968,-0.253676
1524969895399378599,3.01669,-3.98743,-9.80953,0.291662,0.789664,-0.114654,-0.403332,-0.252476
1524969895407378375,3.25079,-3.59221,-14.0059,0.420264,0.80871,-0.07493,-0.376942,-0.229212
