timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524969431854135513,0.135619,1.06915,-0.131606,0,0,0,0,0,0,-0.934478,0.00308846,-0.000843427,0.356008,1,0,-0.5,0,0,0,0,0,0,1
1524969431863575996,0.135618,1.06914,-0.131616,-4.71146e-05,-0.000147811,-0.0006245,0,0,0,-0.934484,0.00307601,-0.00110252,0.355991,1,0,-0.5,0,0,0,0,0,0,1
1524969431873548537,0.135631,1.06915,-0.131605,0.00144894,0.00103006,0.00128585,0,0,0,-0.934519,0.00288076,-0.00088804,0.3559,1,0,-0.5,0,0,0,0,0,0,1
1524969431883564783,0.135625,1.06915,-0.131614,0.00144894,0.00103006,0.00128585,0.0880827,0.0693486,0.112475,-0.934447,0.00312854,-0.00120154,0.356086,1,0,-0.5,0,0,0,0,0,0,1
1524969431893537400,0.135618,1.06914,-0.131601,-0.000761983,-0.000687776,0.000245246,0.0880827,0.0693486,0.112475,-0.93446,0.00311308,-0.000703756,0.356053,1,0,-0.5,0,0,0,0,0,0,1
1524969431903504462,0.135623,1.06914,-0.131615,0.000549276,-0.000126756,-0.00163374,0.0880827,0.0693486,0.112475,-0.934474,0.00318519,-0.000900854,0.356015,1,0,-0.5,0,0,0,0,0,0,1
1524969431913556626,0.135618,1.06915,-0.131611,-0.000282149,0.000278577,0.000243755,-0.036214,-0.0465647,-0.117521,-0.934491,0.00313281,-0.00106996,0.355972,1,0,-0.5,0,0,0,0,0,0,1
1524969431923555858,0.135625,1.06915,-0.131607,-0.000282149,0.000278577,0.000243755,-0.0497418,0.0242499,0.112325,-0.934452,0.00318521,-0.000965175,0.356073,1,0,-0.5,0,0,0,0,0,0,1
1524969431933541891,0.13562,1.06915,-0.131588,8.85445e-05,0.000122878,0.00138961,-0.0497418,0.0242499,0.112325,-0.93449,0.00304195,-0.00079718,0.355977,1,0,-0.5,0,0,0,0,0,0,1
1524969431943528553,0.135628,1.06915,-0.131612,0.000977908,0.000169763,-0.00288244,0.075565,-0.00652553,-0.187476,-0.934461,0.00310543,-0.00102528,0.35605,1,0,-0.5,0,0,0,0,0,0,1
1524969431953549242,0.135474,1.06956,-0.132604,0.000977908,0.000169763,-0.00288244,0.075565,-0.00652553,-0.187476,-0.935673,0.00311512,-0.0193064,0.352327,1,0,-0.5,0,0,0,0,0,0,1
1524969431963492498,0.135633,1.06916,-0.131619,-0.000748169,-0.000249985,0.000937443,-0.103418,-0.0251492,0.228868,-0.934493,0.00301812,-0.00102983,0.355966,1,0,-0.5,0,0,0,0,0,0,1
1524969431973528303,0.135548,1.06946,-0.132489,-0.00410144,0.0188939,-0.0544409,-0.103418,-0.0251492,0.228868,-0.933889,-0.00952023,-0.00729938,0.357363,1,0,-0.5,0,0,0,0,0,0,1
1524969431983533668,0.135608,1.06914,-0.131599,0.00699821,-0.037058,0.104443,0.311013,-1.47782,4.15571,-0.934465,0.00321255,-0.000847065,0.356041,1,0,-0.5,0,0,0,0,0,0,1
1524969431993539747,0.135626,1.06915,-0.13161,0.00699821,-0.037058,0.104443,0.311013,-1.47782,4.15571,-0.934491,0.00303927,-0.00120803,0.355973,1,0,-0.5,0,0,0,0,0,0,1
1524969432003533843,0.135627,1.06916,-0.131619,0.00116591,0.00108121,-0.00122537,0.311013,-1.47782,4.15571,-0.9345,0.0030651,-0.00096049,0.355948,1,0,-0.5,0,0,0,0,0,0,1
1524969432013562147,0.135617,1.06914,-0.131603,-0.000230134,-0.000990273,0.00125005,-0.288151,1.4378,-4.1137,-0.934455,0.00342852,-0.000813258,0.356063,1,0,-0.5,0,0,0,0,0,0,1
1524969432023487651,0.135612,1.06914,-0.131614,-0.000775057,-0.000236549,-0.000317191,-0.288151,1.4378,-4.1137,-0.934454,0.00312348,-0.00087424,0.356068,1,0,-0.5,0,0,0,0,0,0,1
1524969432033540939,0.135622,1.06915,-0.131616,-0.000775057,-0.000236549,-0.000317191,-0.0218888,0.0302761,-0.0629538,-0.934467,0.00299586,-0.00100126,0.356035,1,0,-0.5,0,0,0,0,0,0,1
1524969432043481335,0.135625,1.06914,-0.131606,0.000788775,-0.00014374,0.000435713,-0.0218888,0.0302761,-0.0629538,-0.934441,0.00312647,-0.0010159,0.356103,1,0,-0.5,0,0,0,0,0,0,1
1524969432053541603,0.135634,1.06916,-0.131619,0.000993769,0.00164294,-0.00147238,0.104763,0.111317,-0.068419,-0.934484,0.00296088,-0.00101341,0.355991,1,0,-0.5,0,0,0,0,0,0,1
1524969432063490399,0.135631,1.06915,-0.131597,-0.000914689,-0.00122869,7.50864e-05,0.104763,0.111317,-0.068419,-0.934468,0.00316401,-0.000944093,0.356032,1,0,-0.5,0,0,0,0,0,0,1
1524969432073521785,0.135624,1.06916,-0.131607,-0.00011831,0.000618568,0.000722905,-0.0449733,-0.0414263,0.0887789,-0.934484,0.00316222,-0.00102279,0.35599,1,0,-0.5,0,0,0,0,0,0,1
1524969432083488791,0.135627,1.06914,-0.131597,0.000382095,-0.00164923,0.00121737,-0.0449733,-0.0414263,0.0887789,-0.934461,0.00312346,-0.000810048,0.35605,1,0,-0.5,0,0,0,0,0,0,1
1524969432093521334,0.135625,1.06917,-0.131594,-0.000218543,0.00316976,0.000325149,-0.00597643,0.152116,-0.0237164,-0.934489,0.00315213,-0.0008667,0.355976,1,0,-0.5,0,0,0,0,0,0,1
1524969432103491021,0.135615,1.06914,-0.131606,-0.000218543,0.00316976,0.000325149,-0.00597643,0.152116,-0.0237164,-0.934451,0.00300501,-0.000971383,0.356077,1,0,-0.5,0,0,0,0,0,0,1
1524969432113544320,0.135616,1.06915,-0.13161,-0.000613053,-0.000882796,-0.000251352,-0.0231866,-0.238182,-0.0338828,-0.934467,0.00317726,-0.000673929,0.356035,1,0,-0.5,0,0,0,0,0,0,1
1524969432123482388,0.135632,1.06915,-0.131593,0.00108733,-0.000360298,0.00031618,-0.0231866,-0.238182,-0.0338828,-0.934486,0.00312404,-0.000778649,0.355985,1,0,-0.5,0,0,0,0,0,0,1
1524969432133541469,0.13562,1.06915,-0.131613,-0.00146607,0.000541539,-0.00241733,-0.0347077,0.0579533,-0.0881293,-0.934479,0.00313811,-0.000992861,0.356004,1,0,-0.5,0,0,0,0,0,0,1
1524969432143509808,0.135613,1.06914,-0.131604,-0.000783115,-0.000815961,0.00101304,-0.0347077,0.0579533,-0.0881293,-0.934468,0.00312754,-0.000733659,0.356032,1,0,-0.5,0,0,0,0,0,0,1
1524969432153514587,0.135558,1.06945,-0.132489,-0.000783115,-0.000815961,0.00101304,-0.0347077,0.0579533,-0.0881293,-0.933942,-0.00948954,-0.00705695,0.357228,1,0,-0.5,0,0,0,0,0,0,1
1524969432163527561,0.135624,1.06916,-0.131598,0.000458767,0.000122098,0.000395922,0.0763297,-0.0166329,0.11156,-0.934462,0.00311718,-0.000830659,0.356048,1,0,-0.5,0,0,0,0,0,0,1
1524969432173548169,0.135548,1.06945,-0.132488,-0.00441302,0.0184142,-0.0537121,0.0763297,-0.0166329,0.11156,-0.933929,-0.00948648,-0.00753697,0.357253,1,0,-0.5,0,0,0,0,0,0,1
1524969432183489265,0.135627,1.06914,-0.131592,-0.00441302,0.0184142,-0.0537121,-0.197817,0.742747,-2.19704,-0.934494,0.00322554,-0.000966655,0.355964,1,0,-0.5,0,0,0,0,0,0,1
1524969432193480669,0.135619,1.06914,-0.131613,0.004212,-0.0182889,0.0516221,-0.197817,0.742747,-2.19704,-0.934459,0.00320633,-0.000865869,0.356054,1,0,-0.5,0,0,0,0,0,0,1
1524969432203483999,0.13563,1.06916,-0.131607,0.004212,-0.0182889,0.0516221,-0.197817,0.742747,-2.19704,-0.934479,0.00310154,-0.000829934,0.356005,1,0,-0.5,0,0,0,0,0,0,1
1524969432213529701,0.135619,1.06915,-0.131609,-0.00415016,0.0183045,-0.0529257,0.0103113,-0.00430318,0.0308472,-0.934464,0.00319597,-0.000731605,0.356042,1,0,-0.5,0,0,0,0,0,0,1
1524969432223476492,0.135609,1.06914,-0.131599,0.00362332,-0.0187405,0.0548088,0.0103113,-0.00430318,0.0308472,-0.934454,0.00321088,-0.000708981,0.356068,1,0,-0.5,0,0,0,0,0,0,1
1524969432233542121,0.135635,1.06915,-0.131611,0.00292445,0.00077478,-0.00142158,0.284332,-0.704531,2.06998,-0.934469,0.00313485,-0.00105953,0.356029,1,0,-0.5,0,0,0,0,0,0,1
1524969432243478024,0.135629,1.06915,-0.131614,0.00292445,0.00077478,-0.00142158,0.284332,-0.704531,2.06998,-0.934458,0.00313685,-0.000976686,0.356058,1,0,-0.5,0,0,0,0,0,0,1
1524969432253528864,0.135632,1.06916,-0.131612,-0.000176136,0.000755388,-4.26722e-05,0.284332,-0.704531,2.06998,-0.934467,0.00311955,-0.000931137,0.356034,1,0,-0.5,0,0,0,0,0,0,1
1524969432263486806,0.135613,1.06915,-0.131601,6.71411e-05,-0.00106048,0.000862504,-0.113982,-0.0732114,0.0911156,-0.934443,0.00310172,-0.000871179,0.356099,1,0,-0.5,0,0,0,0,0,0,1
1524969432273532654,0.135628,1.06916,-0.131608,-0.000274649,0.000341947,-0.000216445,-0.113982,-0.0732114,0.0911156,-0.934469,0.0032158,-0.000705463,0.356029,1,0,-0.5,0,0,0,0,0,0,1
1524969432283551965,0.135617,1.06915,-0.131602,-0.000274649,0.000341947,-0.000216445,-0.0138423,0.0567975,-0.0436967,-0.93448,0.00315828,-0.000855832,0.356001,1,0,-0.5,0,0,0,0,0,0,1
1524969432293534447,0.135637,1.06915,-0.131621,0.000541846,-0.000105554,-0.000750316,-0.0138423,0.0567975,-0.0436967,-0.934456,0.00312292,-0.00131509,0.356062,1,0,-0.5,0,0,0,0,0,0,1
1524969432303516342,0.135481,1.06956,-0.132602,0.000541846,-0.000105554,-0.000750316,0.048874,-0.0267867,-0.0319566,-0.935657,0.00292939,-0.0195741,0.352355,1,0,-0.5,0,0,0,0,0,0,1
1524969432313552772,0.135618,1.06914,-0.13161,-0.00480307,0.0179319,-0.0535647,0.048874,-0.0267867,-0.0319566,-0.934455,0.00303767,-0.000877154,0.356066,1,0,-0.5,0,0,0,0,0,0,1
1524969432323485708,0.135564,1.06945,-0.132493,0.000394388,-9.30076e-05,0.000895199,-0.00586009,0.00049862,0.065394,-0.933925,-0.00954096,-0.00762492,0.357261,1,0,-0.5,0,0,0,0,0,0,1
1524969432333547502,0.135618,1.06915,-0.131593,0.000394388,-9.30076e-05,0.000895199,-0.00586009,0.00049862,0.065394,-0.934475,0.00306308,-0.000699672,0.356015,1,0,-0.5,0,0,0,0,0,0,1
1524969432343488458,0.135635,1.06915,-0.131609,0.00422586,-0.0180659,0.0527233,0.228513,-1.07192,3.09108,-0.93447,0.00305358,-0.000851777,0.356029,1,0,-0.5,0,0,0,0,0,0,1
1524969432353537985,0.13556,1.06946,-0.132505,0.00422586,-0.0180659,0.0527233,0.228513,-1.07192,3.09108,-0.933934,-0.00948565,-0.00751508,0.357241,1,0,-0.5,0,0,0,0,0,0,1
1524969432363537772,0.135547,1.06943,-0.132503,-0.000127806,-2.14499e-05,-0.000442405,-0.261126,1.08228,-3.18879,-0.933926,-0.0095605,-0.0072861,0.357265,1,0,-0.5,0,0,0,0,0,0,1
1524969432373690402,0.135553,1.06945,-0.132513,-0.00481823,0.0182339,-0.0542182,-0.261126,1.08228,-3.18879,-0.933916,-0.00963586,-0.00766342,0.35728,1,0,-0.5,0,0,0,0,0,0,1
1524969432383507536,0.135632,1.06914,-0.131606,0.009286,-0.0355972,0.106424,0.375994,-1.42092,4.26833,-0.934472,0.00315577,-0.000895263,0.35602,1,0,-0.5,0,0,0,0,0,0,1
1524969432393502111,0.135634,1.06915,-0.131614,0.009286,-0.0355972,0.106424,0.375994,-1.42092,4.26833,-0.934493,0.00299064,-0.0011906,0.355967,1,0,-0.5,0,0,0,0,0,0,1
