timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524972842955331109,3.9767,-0.431146,-12.4304,0.375053,0.987906,-0.0163135,-0.154175,-0.00254593
1524972842963358847,3.97669,-0.43122,-12.4331,0.374492,0.987911,-0.0163132,-0.154143,-0.00254534
1524972842971575860,3.35072,-0.562051,-12.7959,0.386784,0.991589,-0.0210576,-0.127676,-0.00271137
1524972842980169176,3.61031,-0.600214,-12.323,0.371578,0.989594,-0.0231153,-0.141979,-0.00331639
1524972842996696339,3.90923,-0.23059,-12.5196,0.37777,0.988533,-0.00868916,-0.150746,-0.00132505
1524972843005006939,3.92389,-0.232143,-12.5242,0.377498,0.988461,-0.00874113,-0.15122,-0.00133727
1524972843013347617,4.49976,-0.557136,-12.3993,0.372997,0.98467,-0.0207857,-0.173145,-0.00365498
1524972843021641099,4.50968,-0.558235,-12.4015,0.372684,0.984613,-0.0208169,-0.173466,-0.00366746
1524972843030431261,4.63047,-0.647092,-12.2923,0.369055,0.983523,-0.0242108,-0.179102,-0.00440884
1524972843046827807,3.4478,-0.270509,-12.5008,0.377511,0.990907,-0.0103342,-0.134144,-0.001399
1524972843055000592,3.45757,-0.271575,-12.5052,0.377691,0.990864,-0.010369,-0.13446,-0.00140708
1524972843063359179,4.0521,-0.43889,-12.4689,0.375477,0.987546,-0.0165247,-0.156438,-0.00261769
1524972843071616602,4.06196,-0.439936,-12.4755,0.376064,0.987502,-0.0165514,-0.156713,-0.00262666
1524972843080063978,4.05559,-0.452535,-12.4529,0.375012,0.987488,-0.0170554,-0.156748,-0.00270727
1524972843096679611,4.02168,-0.375232,-12.4801,0.376021,0.987776,-0.0141308,-0.155224,-0.00222059
1524972843105063719,4.03328,-0.385811,-12.4774,0.37586,0.9877,-0.0145269,-0.15567,-0.00228957
1524972843113265885,4.06963,-0.500074,-12.4693,0.375503,0.987406,-0.0188157,-0.157054,-0.00299278
1524972843121929023,4.08023,-0.498076,-12.471,0.375592,0.987351,-0.0187325,-0.157414,-0.00298653
1524972843130231823,4.07415,-0.422496,-12.4752,0.376104,0.987443,-0.0158906,-0.157156,-0.00252906
1524972843146504154,3.4677,-0.27691,-12.6479,0.382019,0.991007,-0.0104611,-0.133392,-0.00140809
1524972843155345635,3.64715,-0.327894,-12.4202,0.374811,0.989741,-0.0125333,-0.142312,-0.00180213
1524972843163389957,4.94626,-0.731075,-12.2794,0.368241,0.981353,-0.0270768,-0.190223,-0.0052485
1524972843171985092,4.94879,-0.713807,-12.4025,0.372019,0.981686,-0.0262195,-0.188624,-0.00503788
1524972843180238449,3.63345,-0.265577,-12.5411,0.378497,0.990025,-0.0100676,-0.140527,-0.00142902
1524972843196724933,4.06866,-0.48351,-12.4813,0.376245,0.987446,-0.0181782,-0.156881,-0.00288808
1524972843204898776,4.07618,-0.482073,-12.4933,0.376265,0.987427,-0.018105,-0.157011,-0.00287887
1524972843213256282,4.11967,-0.415953,-12.5221,0.377193,0.987276,-0.0155723,-0.158232,-0.00249579
1524972843221532144,4.12952,-0.417015,-12.5264,0.377227,0.987227,-0.0156028,-0.158532,-0.00250554
1524972843230108997,4.17463,-0.44981,-12.4857,0.375951,0.98687,-0.0168541,-0.160611,-0.00274298
1524972843246943133,4.06067,-0.4596,-12.5282,0.377783,0.987595,-0.0172272,-0.156054,-0.00272215
1524972843255218433,4.07756,-0.461521,-12.51,0.376816,0.987464,-0.0173129,-0.156868,-0.00275032
1524972843263360827,4.19152,-0.455868,-12.4942,0.376165,0.986785,-0.0170622,-0.161109,-0.00278569
1524972843271687404,4.20095,-0.457692,-12.5104,0.376666,0.986761,-0.0171061,-0.161251,-0.00279538
1524972843280174670,4.17539,-0.432332,-12.5255,0.377108,0.986954,-0.0161544,-0.160169,-0.00262164
1524972843296964712,4.15388,-0.46255,-12.5193,0.376947,0.987046,-0.0173011,-0.159475,-0.00279531
1524972843305127460,4.16389,-0.463635,-12.5237,0.377064,0.986997,-0.0173311,-0.159778,-0.00280561
1524972843313391130,3.60043,-0.269109,-12.686,0.383397,0.990404,-0.0101046,-0.137823,-0.00140614
1524972843321715313,3.61002,-0.270138,-12.6882,0.383141,0.990359,-0.0101391,-0.138146,-0.00141432
1524972843329978504,4.94639,-0.730251,-12.3197,0.369506,0.981463,-0.0269733,-0.189671,-0.00521268
1524972843346534710,3.59471,-0.34981,-12.5864,0.379958,0.990253,-0.0132294,-0.138638,-0.00185215
1524972843355230110,3.61788,-0.344651,-12.5894,0.379971,0.990142,-0.0130237,-0.139449,-0.00183422
1524972843363345183,4.29058,-0.418823,-12.5422,0.377938,0.986327,-0.0155779,-0.164041,-0.00259083
1524972843371603111,4.29626,-0.416681,-12.5399,0.3775,0.986291,-0.015498,-0.164268,-0.00258122
1524972843380140728,3.10774,-0.160389,-12.8431,0.388943,0.992944,-0.00602598,-0.118426,-0.000718705
1524972843396655020,4.94161,-0.761925,-12.2955,0.36883,0.981396,-0.0281907,-0.189834,-0.00545301
1524972843405054709,4.94291,-0.753423,-12.4199,0.372572,0.981731,-0.0276448,-0.188179,-0.00529897
1524972843413410227,2.61757,0.00423864,-12.9175,0.392003,0.995008,0.000159995,-0.0997983,1.60473e-05
1524972843421500396,2.62715,0.00327418,-12.9223,0.392165,0.994976,0.000123524,-0.100117,1.24292e-05
1524972843430059695,4.95134,-0.695898,-12.4686,0.37453,0.981862,-0.0254485,-0.187818,-0.00486798
1524972843446697956,4.94989,-0.706143,-12.2433,0.367251,0.981255,-0.0262156,-0.190853,-0.00509891
1524972843455023867,4.95245,-0.687943,-12.4678,0.374129,0.98186,-0.0251584,-0.187868,-0.00481377
1524972843463269347,3.22318,-0.196823,-12.6498,0.382892,0.992201,-0.0074796,-0.124419,-0.000937923
1524972843471522244,3.23611,-0.196012,-12.6579,0.382772,0.992151,-0.0074421,-0.124819,-0.000936263
1524972843480156957,3.128,-0.173319,-12.8897,0.390375,0.992902,-0.00648688,-0.118752,-0.000775839
1524972843496646461,4.94499,-0.739666,-12.3176,0.369389,0.981457,-0.0273254,-0.18965,-0.00528017
