timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524972607816476324,0.135655,1.06969,-0.134213,0,0,0,0,0,0,-0.934942,-0.00094952,-0.02601,0.353845,10,0,-0.5,0.994172,-0.107808,-0.438945,0,0,0,1
1524972607826109495,0.135626,1.06967,-0.134209,0,0,0,0,0,0,-0.935003,-0.000663802,-0.0261214,0.353677,10,0,-0.5,0.994172,-0.107805,-0.438949,0,0,0,1
1524972607836248386,0.135637,1.06968,-0.134234,-0.00109253,-0.000753839,-0.00127033,0,0,0,-0.934967,-0.000892729,-0.0262026,0.353764,10,0,-0.5,0.994172,-0.107807,-0.438919,0,0,0,1
1524972607846176252,0.135634,1.06968,-0.134252,-0.000165513,0.000492861,-0.00111353,0,0,0,-0.934952,-0.000993429,-0.0261621,0.353808,10,0,-0.5,0.994172,-0.107807,-0.438898,0,0,0,1
1524972607856177620,0.135618,1.06967,-0.134221,-0.00190932,-0.00213985,0.00365323,-0.0331042,-0.0561746,0.19955,-0.93501,-0.000760336,-0.0263704,0.353638,10,0,-0.5,0.994172,-0.107805,-0.438935,0,0,0,1
1524972607866158877,0.135608,1.06966,-0.134215,-0.00190932,-0.00213985,0.00365323,-0.0331042,-0.0561746,0.19955,-0.935033,-0.000756106,-0.0261824,0.353593,10,0,-0.5,0.994172,-0.107805,-0.438942,0,0,0,1
1524972607876137561,0.135628,1.06968,-0.134243,0.000580467,0.000946986,-0.00130649,0.146508,0.181641,-0.291848,-0.934938,-0.000681385,-0.0263453,0.353831,10,0,-0.5,0.994172,-0.107807,-0.438908,0,0,0,1
1524972607886146147,0.135628,1.06967,-0.134228,6.84833e-05,-0.00115192,0.00178583,0.146508,0.181641,-0.291848,-0.934921,-0.000984358,-0.0263317,0.353876,10,0,-0.5,0.994172,-0.107806,-0.438926,0,0,0,1
1524972607896121779,0.135619,1.06967,-0.134233,-0.000540958,-3.62451e-05,-0.000290867,-0.030555,-0.125262,0.184549,-0.934969,-0.000826976,-0.0263297,0.353751,10,0,-0.5,0.994172,-0.107806,-0.438921,0,0,0,1
1524972607906113594,0.13563,1.06968,-0.134231,-0.000540958,-3.62451e-05,-0.000290867,-0.030555,-0.125262,0.184549,-0.934894,-0.000852432,-0.0264578,0.353939,10,0,-0.5,0.994172,-0.107807,-0.438923,0,0,0,1
