timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524969012872212996,0.135601,1.06889,-0.131013,0,0,0,0,0,0,-0.934781,0.00438648,0.00123933,0.355194,1,0,-0.5,0,0,0,0,0,0,1
1524969012881855737,0.135394,1.06924,-0.131378,0,0,0,0,0,0,-0.934905,0.00251617,-0.000896921,0.354889,1,0,-0.5,0,0,0,0,0,0,1
1524969012891797030,0.135598,1.06889,-0.130979,-0.000210506,0.000237399,0.00209579,0,0,0,-0.934817,0.00436562,0.00163041,0.355098,1,0,-0.5,0,0,0,0,0,0,1
1524969012901714631,0.135524,1.06896,-0.131285,-0.00429657,0.00394975,-0.0178573,-0.238351,0.216551,-1.16392,-0.934886,0.00404613,0.00075272,0.354925,1,0,-0.5,0,0,0,0,0,0,1
1524969012911668604,0.135606,1.06889,-0.13099,-0.00429657,0.00394975,-0.0178573,-0.238351,0.216551,-1.16392,-0.934831,0.00432195,0.00170677,0.355063,1,0,-0.5,0,0,0,0,0,0,1
1524969012921674527,0.135514,1.06895,-0.131289,-0.000661259,-0.000576293,-0.000211492,-0.238351,0.216551,-1.16392,-0.93488,0.00439725,0.000749415,0.354935,1,0,-0.5,0,0,0,0,0,0,1
1524969012931640469,0.135397,1.06924,-0.131377,-0.0139122,0.0345914,-0.0105787,-0.392718,1.25145,0.297269,-0.934891,0.00255978,-0.000875797,0.354924,1,0,-0.5,0,0,0,0,0,0,1
1524969012941687252,0.135398,1.06924,-0.131375,6.23177e-05,-0.000185173,0.000263515,-0.392718,1.25145,0.297269,-0.93489,0.00257784,-0.00123025,0.354925,1,0,-0.5,0,0,0,0,0,0,1
1524969012951662051,0.135404,1.06923,-0.131378,0.000377817,-0.000365516,-0.000184515,0.564193,-1.38015,0.410379,-0.934895,0.00265232,-0.00113961,0.354913,1,0,-0.5,0,0,0,0,0,0,1
1524969012961681661,0.135401,1.06924,-0.131362,0.000377817,-0.000365516,-0.000184515,0.564193,-1.38015,0.410379,-0.934888,0.00265875,-0.00122615,0.354932,1,0,-0.5,0,0,0,0,0,0,1
1524969012971662940,0.135612,1.0689,-0.130984,0.012777,-0.0203875,0.0242152,0.564193,-1.38015,0.410379,-0.934824,0.00426073,0.00155766,0.355082,1,0,-0.5,0,0,0,0,0,0,1
1524969012981667015,0.135405,1.06924,-0.13137,0.012777,-0.0203875,0.0242152,0.506742,-0.818282,0.997195,-0.934911,0.00264524,-0.000907998,0.354871,1,0,-0.5,0,0,0,0,0,0,1
1524969012991669217,0.135411,1.06923,-0.131383,-0.0119486,0.019824,-0.0237228,0.506742,-0.818282,0.997195,-0.934901,0.00268246,-0.00101656,0.354896,1,0,-0.5,0,0,0,0,0,0,1
1524969013001785700,0.135409,1.06924,-0.131372,-0.000137178,0.000391438,0.000664921,-1.46223,2.37805,-2.83498,-0.934889,0.00251305,-0.000957996,0.354931,1,0,-0.5,0,0,0,0,0,0,1
1524969013011679519,0.135407,1.06924,-0.131363,-0.000137178,0.000391438,0.000664921,0.706833,-1.16291,1.45944,-0.934879,0.00261787,-0.00103379,0.354955,1,0,-0.5,0,0,0,0,0,0,1
1524969013021699061,0.135394,1.06925,-0.131375,-0.0009535,0.00052735,-0.000223752,0.706833,-1.16291,1.45944,-0.934884,0.00249311,-0.0013105,0.354942,1,0,-0.5,0,0,0,0,0,0,1
1524969013031706731,0.135603,1.06889,-0.130992,0.0247814,-0.0419191,0.0453688,0.706833,-1.16291,1.45944,-0.934823,0.00424987,0.00153681,0.355086,1,0,-0.5,0,0,0,0,0,0,1
1524969013041690475,0.13542,1.06923,-0.131374,0.0247814,-0.0419191,0.0453688,1.00194,-1.70123,1.79747,-0.934914,0.00252968,-0.00103425,0.354863,1,0,-0.5,0,0,0,0,0,0,1
1524969013051692771,0.1354,1.06924,-0.131374,0.000811073,0.00159369,-0.0005087,-1.42632,2.58915,-2.72987,-0.934886,0.00248048,-0.00116469,0.354938,1,0,-0.5,0,0,0,0,0,0,1
1524969013061679864,0.13561,1.0689,-0.13098,0.0243606,-0.0400937,0.0457049,-1.42632,2.58915,-2.72987,-0.934855,0.00435638,0.00160648,0.354999,1,0,-0.5,0,0,0,0,0,0,1
1524969013071754888,0.135401,1.06922,-0.131373,0.0243606,-0.0400937,0.0457049,-1.42632,2.58915,-2.72987,-0.934885,0.00265866,-0.00107379,0.354939,1,0,-0.5,0,0,0,0,0,0,1
1524969013081696900,0.135398,1.06923,-0.131375,-0.0132481,0.0206249,-0.0246527,-0.56988,0.771417,-0.978662,-0.934886,0.00264956,-0.00094931,0.354937,1,0,-0.5,0,0,0,0,0,0,1
1524969013091656305,0.135519,1.06896,-0.131276,0.0143862,-0.0319254,0.0117529,-0.56988,0.771417,-0.978662,-0.934885,0.00427321,0.000963696,0.354924,1,0,-0.5,0,0,0,0,0,0,1
1524969013101704689,0.135405,1.06923,-0.131352,-0.0122924,0.0325794,-0.0122788,0.0556982,0.696727,0.721169,-0.934866,0.00277079,-0.00103638,0.354989,1,0,-0.5,0,0,0,0,0,0,1
1524969013111666216,0.135403,1.06923,-0.131369,-0.000554568,-0.000718851,0.000863166,0.0556982,0.696727,0.721169,-0.934872,0.00262906,-0.00117476,0.354974,1,0,-0.5,0,0,0,0,0,0,1
1524969013121661357,0.135521,1.06895,-0.131279,0.013687,-0.0325791,0.0104879,1.03774,-2.60274,0.909408,-0.934907,0.00417712,0.000935798,0.354867,1,0,-0.5,0,0,0,0,0,0,1
