timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524969895211722391,0.13553,1.06985,-0.133546,0,0,0,0,0,0,-0.935353,-0.00766238,-0.028911,0.35245,1,0,-0.5,0,0,0,0,0,0,1
1524969895221304871,0.135709,1.06946,-0.132804,0,0,0,0,0,0,-0.936607,0.00248263,-0.021012,0.349742,1,0,-0.5,0,0,0,0,0,0,1
1524969895231623166,0.135821,1.06914,-0.131729,0.0177377,-0.043788,0.11094,0,0,0,-0.934895,0.00288543,-0.00217793,0.354907,1,0,-0.5,0,0,0,0,0,0,1
1524969895241245059,0.135709,1.06945,-0.132601,-0.00672261,0.0191921,-0.052458,0,0,0,-0.934152,-0.0094958,-0.00743761,0.356671,1,0,-0.5,0,0,0,0,0,0,1
1524969895251326739,0.135722,1.06946,-0.13261,-0.00672261,0.0191921,-0.052458,-0.991608,2.55318,-6.62408,-0.934129,-0.00948524,-0.00748417,0.356731,1,0,-0.5,0,0,0,0,0,0,1
1524969895261333316,0.135423,1.06996,-0.133567,-0.0169946,0.030098,-0.0572876,-0.991608,2.55318,-6.62408,-0.934922,-0.00737953,-0.0274528,0.353714,1,0,-0.5,0,0,0,0,0,0,1
1524969895271338179,0.135537,1.06983,-0.133534,-0.0169946,0.030098,-0.0572876,-0.610226,0.647881,-0.286909,-0.935398,-0.00728394,-0.0288165,0.352346,1,0,-0.5,0,0,0,0,0,0,1
1524969895281300367,0.135692,1.06946,-0.132798,0.0164019,-0.0305592,0.0468268,-0.610226,0.647881,-0.286909,-0.936613,0.00236049,-0.0213849,0.349706,1,0,-0.5,0,0,0,0,0,0,1
1524969895291302514,0.135611,1.06955,-0.132746,-0.00958051,0.010576,0.00627285,0.441834,-1.16338,3.78779,-0.936273,0.00266974,-0.021339,0.350616,1,0,-0.5,0,0,0,0,0,0,1
1524969895301288415,0.135737,1.06945,-0.132627,-0.0104465,0.0335076,-0.0931604,0.441834,-1.16338,3.78779,-0.93414,-0.00933893,-0.00768693,0.356702,1,0,-0.5,0,0,0,0,0,0,1
1524969895311328824,0.135715,1.06945,-0.132595,0.0114355,-0.0229313,0.0558401,0.831585,-1.32585,1.96133,-0.934185,-0.00950911,-0.00731603,0.356588,1,0,-0.5,0,0,0,0,0,0,1
1524969895321323421,0.135517,1.06984,-0.133526,0.0114355,-0.0229313,0.0558401,0.831585,-1.32585,1.96133,-0.935415,-0.00759569,-0.0288372,0.352293,1,0,-0.5,0,0,0,0,0,0,1
1524969895331322560,0.135707,1.06946,-0.132791,-0.000482253,0.000895353,-0.0119726,0.831585,-1.32585,1.96133,-0.936618,0.00264746,-0.0212645,0.349697,1,0,-0.5,0,0,0,0,0,0,1
1524969895341289410,0.135608,1.06955,-0.132739,-0.00606869,0.0054041,0.0032055,-0.485374,0.970386,-2.7618,-0.936307,0.00279055,-0.021308,0.350523,1,0,-0.5,0,0,0,0,0,0,1
1524969895351299013,0.135511,1.06986,-0.133523,-0.0111082,0.035231,-0.0903007,-0.629386,2.03373,-4.63944,-0.935362,-0.0075347,-0.0291928,0.352404,1,0,-0.5,0,0,0,0,0,0,1
1524969895361290667,0.135625,1.06955,-0.132754,0.0135628,-0.0369098,0.0922104,-0.629386,2.03373,-4.63944,-0.936269,0.0026347,-0.0214451,0.350619,1,0,-0.5,0,0,0,0,0,0,1
1524969895371249953,0.135514,1.06983,-0.133543,0.0135628,-0.0369098,0.0922104,-0.629386,2.03373,-4.63944,-0.935377,-0.0074901,-0.0289468,0.352386,1,0,-0.5,0,0,0,0,0,0,1
1524969895381272709,0.135713,1.06945,-0.132624,0.00535864,-0.00624919,0.00784313,0.663172,-1.67053,3.95255,-0.934129,-0.00948946,-0.00756061,0.35673,1,0,-0.5,0,0,0,0,0,0,1
1524969895391227315,0.135536,1.06983,-0.133525,-0.0105974,0.0233291,-0.0540388,0.663172,-1.67053,3.95255,-0.935365,-0.00751056,-0.0287424,0.352433,1,0,-0.5,0,0,0,0,0,0,1
1524969895401309335,0.135521,1.06984,-0.133526,-0.00186769,0.000858221,-0.000121347,-0.287543,0.282811,-0.316914,-0.935373,-0.00749625,-0.0288533,0.352405,1,0,-0.5,0,0,0,0,0,0,1
1524969895411337144,0.135523,1.06983,-0.133524,-0.00186769,0.000858221,-0.000121347,-0.287543,0.282811,-0.316914,-0.935389,-0.00738525,-0.0287779,0.352371,1,0,-0.5,0,0,0,0,0,0,1
1524969895421308159,0.135513,1.06983,-0.133532,-0.000419626,-0.000592413,-0.000370258,0.0856686,-0.0858208,-0.0147258,-0.935372,-0.00737024,-0.0287585,0.352418,1,0,-0.5,0,0,0,0,0,0,1
