timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524969846186976663,0.135433,1.06995,-0.133555,0,0,0,0,0,0,-0.934905,-0.00758998,-0.027411,0.353757,1,0,-0.5,0,0,0,0,0,0,1
1524969846196342216,0.135814,1.06912,-0.131729,0,0,0,0,0,0,-0.934904,0.00282771,-0.00177355,0.354884,1,0,-0.5,0,0,0,0,0,0,1
1524969846206431271,0.135537,1.06983,-0.133523,0.00628446,-0.00702312,0.00196734,0,0,0,-0.935374,-0.00758062,-0.0287113,0.352412,1,0,-0.5,0,0,0,0,0,0,1
1524969846216301382,0.13544,1.06995,-0.133557,0.0330149,-0.0807015,0.204684,0,0,0,-0.934894,-0.00746417,-0.0272771,0.353798,1,0,-0.5,0,0,0,0,0,0,1
1524969846226341651,0.135525,1.06983,-0.133537,-0.0183803,0.0428423,-0.110526,-0.979732,1.98075,-4.46843,-0.935433,-0.00736742,-0.0289237,0.352242,1,0,-0.5,0,0,0,0,0,0,1
1524969846236351160,0.135728,1.06944,-0.132617,-0.0183803,0.0428423,-0.110526,-0.979732,1.98075,-4.46843,-0.934193,-0.00919209,-0.00741313,0.356573,1,0,-0.5,0,0,0,0,0,0,1
1524969846246298128,0.135618,1.06954,-0.132751,0.00562148,-0.0176373,0.0476511,-0.979732,1.98075,-4.46843,-0.936239,0.00250214,-0.0212064,0.350714,1,0,-0.5,0,0,0,0,0,0,1
1524969846256337268,0.135527,1.06983,-0.13352,-0.0107809,0.0347253,-0.0912564,0.305082,-0.32586,0.773567,-0.935388,-0.0075024,-0.0287509,0.352372,1,0,-0.5,0,0,0,0,0,0,1
1524969846266334468,0.135718,1.06945,-0.132606,-0.0112117,0.0144388,-0.00441476,0.305082,-0.32586,0.773567,-0.934123,-0.00940256,-0.00722384,0.356756,1,0,-0.5,0,0,0,0,0,0,1
1524969846276351689,0.135714,1.06925,-0.131737,0.0172044,-0.0425834,0.110896,1.12018,-3.09446,8.09163,-0.934389,0.00283486,-0.000867106,0.356243,1,0,-0.5,0,0,0,0,0,0,1
1524969846286346212,0.13563,1.06957,-0.132622,0.0172044,-0.0425834,0.110896,1.12018,-3.09446,8.09163,-0.933782,-0.00960583,-0.00679602,0.35765,1,0,-0.5,0,0,0,0,0,0,1
1524969846296287082,0.135707,1.06944,-0.132591,-0.000370003,0.0113455,-0.0520949,1.12018,-3.09446,8.09163,-0.934153,-0.00931423,-0.00713273,0.356679,1,0,-0.5,0,0,0,0,0,0,1
1524969846306351517,0.135721,1.06944,-0.132615,0.00163587,2.8543e-05,-0.00289176,-0.629181,1.7221,-4.59859,-0.934177,-0.00938039,-0.00750765,0.356608,1,0,-0.5,0,0,0,0,0,0,1
1524969846316327616,0.135728,1.06944,-0.132597,-0.0205495,0.0435675,-0.0998221,-1.31134,2.57353,-5.72942,-0.934183,-0.00936654,-0.00736813,0.356596,1,0,-0.5,0,0,0,0,0,0,1
1524969846326345860,0.135721,1.06945,-0.132591,0.0113959,-0.0235858,0.0569851,-1.31134,2.57353,-5.72942,-0.934137,-0.00940643,-0.0072354,0.356718,1,0,-0.5,0,0,0,0,0,0,1
1524969846336342895,0.135624,1.06955,-0.132745,0.0113959,-0.0235858,0.0569851,-1.31134,2.57353,-5.72942,-0.936276,0.00259458,-0.0211243,0.35062,1,0,-0.5,0,0,0,0,0,0,1
1524969846346318311,0.135526,1.06983,-0.133514,-0.0118211,0.0233199,-0.056121,0.347496,-0.806109,1.73985,-0.935361,-0.0074499,-0.0288952,0.352434,1,0,-0.5,0,0,0,0,0,0,1
1524969846356353848,0.135732,1.06926,-0.13176,-0.0118211,0.0233199,-0.056121,0.347496,-0.806109,1.73985,-0.934397,0.0031551,-0.000932037,0.356219,1,0,-0.5,0,0,0,0,0,0,1
1524969846366324626,0.13553,1.06983,-0.133531,-0.00493211,0.00615843,-0.00198001,0.278873,-0.69471,2.19167,-0.935379,-0.00753331,-0.0286655,0.352403,1,0,-0.5,0,0,0,0,0,0,1
1524969846376343214,0.135634,1.06954,-0.132733,0.0115371,-0.0243754,0.0494776,0.278873,-0.69471,2.19167,-0.93625,0.00271711,-0.0212772,0.35068,1,0,-0.5,0,0,0,0,0,0,1
1524969846386336225,0.135716,1.06945,-0.1328,0.0115371,-0.0243754,0.0494776,0.278873,-0.69471,2.19167,-0.936611,0.00258015,-0.0210584,0.349728,1,0,-0.5,0,0,0,0,0,0,1
1524969846396279389,0.135534,1.06984,-0.13352,-0.00603552,0.0184204,-0.04766,-0.0442557,0.491808,-1.83215,-0.935362,-0.00761663,-0.028896,0.352427,1,0,-0.5,0,0,0,0,0,0,1
1524969846406293331,0.135435,1.06995,-0.133556,-0.0117603,0.0128835,-0.00422364,-0.0442557,0.491808,-1.83215,-0.934913,-0.00731993,-0.0272836,0.35375,1,0,-0.5,0,0,0,0,0,0,1
1524969846416339809,0.135716,1.06945,-0.13259,0.0332529,-0.0603583,0.112166,2.33959,-4.6912,9.51747,-0.934136,-0.00939889,-0.0076677,0.356712,1,0,-0.5,0,0,0,0,0,0,1
1524969846426480646,0.135523,1.06983,-0.133529,-0.0112404,0.022839,-0.0538326,-2.62207,4.90297,-9.78258,-0.935361,-0.00744344,-0.0287291,0.352447,1,0,-0.5,0,0,0,0,0,0,1
1524969846436354802,0.135433,1.06996,-0.133563,-0.0112404,0.022839,-0.0538326,-2.62207,4.90297,-9.78258,-0.934925,-0.00754366,-0.0271896,0.35372,1,0,-0.5,0,0,0,0,0,0,1
1524969846446322936,0.135713,1.06945,-0.132617,0.0113796,-0.0226557,0.0546314,1.35528,-2.72581,6.49861,-0.934152,-0.00945476,-0.00717482,0.356678,1,0,-0.5,0,0,0,0,0,0,1
