timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524969431845716949,3.14353,-3.88821,-12.0104,0.368697,0.798734,-0.093546,-0.388625,-0.243399
1524969431861846948,3.1473,-3.88516,-11.9869,0.367869,0.79881,-0.0936196,-0.388805,-0.243184
1524969431870526771,3.14189,-3.88954,-11.9984,0.368252,0.798661,-0.0936659,-0.388685,-0.243504
1524969431878831661,3.0909,-3.93018,-12.0928,0.371115,0.79723,-0.0941825,-0.387656,-0.24649
1524969431886992722,3.0989,-3.92388,-12.0867,0.371053,0.79747,-0.0940442,-0.387763,-0.246021
1524969431895456882,3.17866,-3.85955,-11.9061,0.365454,0.799645,-0.0934413,-0.389595,-0.241329
1524969431912145819,3.15345,-3.88017,-12.094,0.37117,0.799191,-0.0927485,-0.388194,-0.242756
1524969431920389597,3.15344,-3.88019,-12.094,0.371206,0.799191,-0.0927487,-0.388194,-0.242757
1524969431928638244,3.13827,-3.89246,-12.0788,0.370768,0.79869,-0.0932004,-0.388155,-0.243678
1524969431937064746,3.13622,-3.89411,-12.053,0.369926,0.79858,-0.0934228,-0.388296,-0.243815
1524969431945234631,3.12242,-3.90519,-11.8546,0.358759,0.797791,-0.0951156,-0.389416,-0.24475
1524969431961875688,3.18538,-3.854,-12.1793,0.373773,0.800337,-0.0914399,-0.387945,-0.240774
1524969431970140589,3.15894,-3.8757,-11.8418,0.359745,0.798911,-0.0943517,-0.389829,-0.242562
1524969431978661976,3.22164,-2.89797,-15.2718,0.468546,0.822419,-0.0554928,-0.365672,-0.203294
1524969431986729370,3.22157,-2.89802,-15.2717,0.468439,0.822417,-0.0554942,-0.365672,-0.203299
1524969431995200259,2.72372,-4.19301,-8.20236,0.251918,0.774372,-0.140918,-0.41438,-0.270736
1524969432011511070,3.20626,-3.83665,-12.1456,0.372851,0.800931,-0.0911766,-0.388333,-0.239512
1524969432020377656,3.20609,-3.83679,-12.1361,0.3725,0.800909,-0.0912434,-0.38839,-0.239527
1524969432028642286,3.14437,-3.88754,-11.9939,0.368101,0.798731,-0.0936393,-0.388735,-0.243357
1524969432036964405,3.14089,-3.89035,-11.9985,0.368258,0.79863,-0.0936883,-0.388676,-0.243564
1524969432045526317,3.07586,-3.94196,-12.0046,0.368435,0.796602,-0.0951321,-0.388063,-0.247423
1524969432062108418,3.22887,-3.81764,-12.1147,0.371824,0.801583,-0.0908486,-0.388721,-0.238131
1524969432070253876,3.224,-3.82176,-12.1185,0.371921,0.801438,-0.0909386,-0.388654,-0.238431
1524969432078638561,3.12693,-3.90158,-12.1107,0.371756,0.79839,-0.0932439,-0.387861,-0.24434
1524969432087025204,3.11986,-3.90723,-12.1053,0.371583,0.79816,-0.0934411,-0.387832,-0.244765
1524969432095330796,3.07719,-3.94093,-12.0354,0.369399,0.796699,-0.0948877,-0.387886,-0.247329
1524969432111831300,3.21771,-3.82705,-12.0467,0.369815,0.801116,-0.0915648,-0.389051,-0.238858
1524969432120252040,3.21321,-3.83083,-12.0502,0.369888,0.800982,-0.0916477,-0.388989,-0.239134
1524969432128617008,3.1401,-3.89099,-11.9809,0.367727,0.798574,-0.0938276,-0.388779,-0.243621
1524969432137236720,3.14099,-3.89027,-12.0016,0.368427,0.798638,-0.0936652,-0.388658,-0.243556
1524969432145184620,3.15417,-3.87959,-12.2015,0.370847,0.799399,-0.092011,-0.387541,-0.242657
1524969432161868897,3.1044,-3.91953,-12.0605,0.370215,0.797597,-0.0940992,-0.387972,-0.245709
1524969432170413744,3.08375,-3.9358,-11.7305,0.356245,0.796346,-0.0968959,-0.389853,-0.247116
1524969432178462147,2.95286,-4.03493,-9.8052,0.301055,0.787628,-0.116361,-0.402565,-0.256144
1524969432187373887,2.99023,-4.00731,-10.4371,0.320452,0.790554,-0.109501,-0.397943,-0.253449
1524969432195069380,3.31021,-3.10154,-15.1357,0.464391,0.819701,-0.0598661,-0.368883,-0.208531
1524969432211909938,2.79119,-4.14841,-8.04886,0.247274,0.775835,-0.141076,-0.417154,-0.267351
1524969432220220047,2.82506,-4.12541,-8.69533,0.267105,0.779729,-0.13187,-0.410928,-0.264541
1524969432228836325,3.28025,-3.77358,-13.9122,0.426911,0.805779,-0.0791962,-0.379101,-0.234158
1524969432236998722,3.28027,-3.77357,-13.9121,0.426933,0.805779,-0.079196,-0.379102,-0.234157
1524969432245248767,3.2006,-3.84137,-12.1488,0.372874,0.80076,-0.0912879,-0.388264,-0.239858
1524969432261959578,3.16811,-3.86821,-12.1401,0.372628,0.79973,-0.0921006,-0.388037,-0.241845
1524969432270289451,3.16641,-3.86961,-12.1335,0.37249,0.799665,-0.0921835,-0.388063,-0.241952
