timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524969723737498038,0.135698,1.06922,-0.131717,0,0,0,0,0,0,-0.934396,0.00298809,-0.000964185,0.356222,1,0,-0.5,0,0,0,0,0,0,1
1524969723747560068,0.135696,1.0692,-0.131719,-0.000257013,-0.00191718,-0.00013198,0,0,0,-0.934374,0.00300715,-0.00105207,0.356281,1,0,-0.5,0,0,0,0,0,0,1
1524969723757460429,0.135623,1.06954,-0.132608,0.0197365,-0.0436768,0.106744,1.17146,-2.44679,6.2621,-0.933806,-0.00959659,-0.00694311,0.357583,1,0,-0.5,0,0,0,0,0,0,1
1524969723767380704,0.135448,1.06992,-0.133533,0.0197365,-0.0436768,0.106744,1.17146,-2.44679,6.2621,-0.934897,-0.00763232,-0.0274342,0.353775,1,0,-0.5,0,0,0,0,0,0,1
1524969723777373958,0.13562,1.06953,-0.1326,-0.000141811,-0.00092223,0.000497711,1.17146,-2.44679,6.2621,-0.933814,-0.00963593,-0.00673586,0.357565,1,0,-0.5,0,0,0,0,0,0,1
1524969723787363678,0.135526,1.06981,-0.133518,-0.0111965,0.0335841,-0.10876,-1.25129,3.12534,-8.7175,-0.935359,-0.00761195,-0.0291834,0.352411,1,0,-0.5,0,0,0,0,0,0,1
1524969723797351453,0.135518,1.06963,-0.132696,-0.000961288,-0.0207144,0.0972012,-1.25129,3.12534,-8.7175,-0.935635,0.00295532,-0.0195933,0.352412,1,0,-0.5,0,0,0,0,0,0,1
1524969723807395715,0.135626,1.06959,-0.132802,0.00634173,-0.00254476,-0.00619101,0.689044,-1.41944,4.02973,-0.935972,0.0011834,-0.0214683,0.351418,1,0,-0.5,0,0,0,0,0,0,1
1524969723817318988,0.135704,1.06922,-0.131716,0.00634173,-0.00254476,-0.00619101,0.689044,-1.41944,4.02973,-0.934386,0.00293328,-0.000883805,0.35625,1,0,-0.5,0,0,0,0,0,0,1
1524969723827377533,0.135625,1.06952,-0.132617,-3.7925e-05,-0.0043512,0.011445,0.689044,-1.41944,4.02973,-0.9338,-0.00974545,-0.00673818,0.357599,1,0,-0.5,0,0,0,0,0,0,1
