timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524968515670597034,3.14439,-3.88752,-12.0162,0.369561,0.798771,-0.0934867,-0.388597,-0.243344
1524968515678938971,3.14496,-3.88705,-12.0087,0.369378,0.798775,-0.093524,-0.388648,-0.243313
1524968515687313991,3.16373,-3.87179,-11.9994,0.368991,0.799346,-0.0931519,-0.388872,-0.242185
1524968515695804185,3.16325,-3.87219,-12.0053,0.369276,0.799341,-0.0931233,-0.388831,-0.242211
1524968515703776783,3.14117,-3.89012,-12.0617,0.370937,0.79875,-0.0932501,-0.388286,-0.243513
1524968515720619255,3.20185,-3.84033,-12.1004,0.372143,0.800715,-0.0915802,-0.388575,-0.239806
1524968515728789819,3.20183,-3.84035,-12.1004,0.372114,0.800714,-0.0915804,-0.388575,-0.239808
1524968515737019191,3.05434,-3.95866,-11.9096,0.366325,0.795755,-0.0962857,-0.388457,-0.248736
1524968515746035856,3.05401,-3.95892,-11.9288,0.366935,0.79578,-0.0961568,-0.388335,-0.248745
1524968515754212227,3.13865,-3.89216,-12.159,0.373899,0.798841,-0.0926504,-0.387667,-0.243613
1524968515770546601,3.1704,-3.86634,-11.9494,0.367586,0.799465,-0.0933386,-0.389247,-0.241808
1524968515778898422,3.17165,-3.86531,-11.9503,0.36754,0.799506,-0.0933029,-0.389252,-0.241731
1524968515787075282,3.15715,-3.87717,-12.0478,0.370509,0.799226,-0.092976,-0.388512,-0.242558
1524968515795733978,3.15575,-3.87831,-12.0472,0.370477,0.799181,-0.0930124,-0.388504,-0.242643
1524968515803798013,3.13203,-3.89748,-12.0411,0.37028,0.798428,-0.0936006,-0.388333,-0.244072
1524968515820491642,3.14919,-3.88364,-12.0517,0.370715,0.798984,-0.0931332,-0.388418,-0.243036
1524968515829110972,3.14727,-3.88519,-12.0525,0.370652,0.798925,-0.0931723,-0.388396,-0.243151
1524968515837190397,3.12613,-3.90222,-12.058,0.370867,0.798273,-0.0936206,-0.388177,-0.244417
1524968515845893918,3.12639,-3.90201,-12.0534,0.370629,0.798273,-0.0936462,-0.388208,-0.244403
1524968515853755803,3.14563,-3.88652,-12.0248,0.369853,0.798825,-0.0933988,-0.388554,-0.243265
1524968515870596912,3.20979,-3.8337,-12.1183,0.372645,0.800994,-0.0912749,-0.388533,-0.239309
1524968515878969649,3.20221,-3.84003,-12.1075,0.372289,0.800739,-0.0915241,-0.388534,-0.239781
1524968515887316521,3.11108,-3.91423,-12.0407,0.370295,0.797771,-0.0940829,-0.388151,-0.245323
1524968515896058166,3.10766,-3.91694,-12.0502,0.3706,0.797681,-0.0940958,-0.388063,-0.245521
1524968515903644930,3.11174,-3.9137,-12.1351,0.37313,0.797957,-0.0934232,-0.38758,-0.245233
1524968515920608639,3.16894,-3.86753,-12.0464,0.370482,0.799592,-0.0927117,-0.388625,-0.241844
1524968515928835333,3.16891,-3.86756,-12.0463,0.370522,0.799591,-0.0927125,-0.388625,-0.241846
1524968515937112598,3.12289,-3.90481,-12.0312,0.370049,0.798124,-0.0938781,-0.388314,-0.244624
1524968515945816025,3.12511,-3.90304,-12.027,0.369854,0.798186,-0.0938565,-0.38836,-0.244494
1524968515953699748,3.16503,-3.87073,-12.0475,0.370529,0.799472,-0.0927951,-0.388583,-0.242081
1524968515970468069,3.12689,-3.90161,-12.1331,0.373049,0.798428,-0.0930929,-0.387723,-0.244331
1524968515978730976,3.12937,-3.89962,-12.1405,0.373449,0.798518,-0.0929863,-0.3877,-0.244178
1524968515987429449,3.10549,-3.91866,-12.0104,0.369371,0.797542,-0.0944191,-0.388289,-0.245671
1524968515995739192,3.10552,-3.91864,-12.0103,0.369378,0.797543,-0.0944188,-0.38829,-0.245669
1524968516003720908,3.18287,-3.85608,-12.1161,0.372563,0.800149,-0.0919189,-0.388313,-0.24096
1524968516020563238,3.12855,-3.90028,-12.1039,0.372199,0.798429,-0.0932529,-0.387916,-0.244247
1524968516028766582,3.12855,-3.90028,-12.1038,0.372246,0.798429,-0.0932533,-0.387917,-0.244247
1524968516037039756,3.15488,-3.87901,-12.0811,0.371565,0.799213,-0.0928029,-0.388286,-0.242677
1524968516045568443,3.15804,-3.87644,-12.0886,0.371772,0.799325,-0.0926792,-0.388267,-0.242482
1524968516053906714,3.14409,-3.88776,-12.102,0.372223,0.798912,-0.0929098,-0.388063,-0.243316
1524968516070675225,3.14087,-3.89037,-12.1437,0.373459,0.798884,-0.0927022,-0.387779,-0.243488
1524968516078846158,3.14089,-3.89035,-12.1437,0.373433,0.798885,-0.0927017,-0.38778,-0.243486
1524968516087057988,3.16391,-3.87165,-12.0753,0.371378,0.799486,-0.0926326,-0.3884,-0.242134
1524968516095709798,3.16404,-3.87154,-12.0815,0.371584,0.799501,-0.0925877,-0.388363,-0.242123
1524968516103755811,3.14658,-3.88574,-12.1528,0.373751,0.799078,-0.0925104,-0.387773,-0.243139
1524968516120499600,3.14016,-3.89094,-12.0882,0.371785,0.798765,-0.0930933,-0.388113,-0.24356
1524968516128844159,3.13744,-3.89313,-12.091,0.371891,0.798685,-0.0931365,-0.388073,-0.243721
1524968516137149551,3.11812,-3.90862,-12.1385,0.373335,0.798163,-0.0932557,-0.387615,-0.244851
1524968516145562213,3.12118,-3.90618,-12.1386,0.373316,0.798259,-0.0931854,-0.38764,-0.244669
1524968516153730518,3.17294,-3.86425,-12.1259,0.37289,0.799856,-0.0920834,-0.388166,-0.241559
1524968516170592084,3.15165,-3.88163,-12.097,0.372034,0.79914,-0.0927695,-0.38816,-0.242863
1524968516178833637,3.15165,-3.88164,-12.097,0.372024,0.79914,-0.0927696,-0.38816,-0.242863
1524968516187197567,3.13677,-3.89367,-12.1619,0.373979,0.798787,-0.0926738,-0.387633,-0.243724
1524968516195728142,3.13464,-3.89538,-12.1581,0.373956,0.798714,-0.0927475,-0.387638,-0.243853
1524968516203565238,3.12382,-3.90407,-12.1099,0.372414,0.798291,-0.0933202,-0.387838,-0.244527
1524968516220790216,3.15142,-3.88182,-12.1517,0.373727,0.799228,-0.0924066,-0.387821,-0.242848
1524968516229331236,3.15009,-3.8829,-12.1449,0.373451,0.799174,-0.0924832,-0.387852,-0.242932
1524968516237129986,3.13056,-3.89867,-12.0939,0.371899,0.798474,-0.0932749,-0.387995,-0.244132
1524968516245728798,3.13208,-3.89745,-12.1093,0.372523,0.798549,-0.0931356,-0.387914,-0.244033
1524968516253698276,3.15759,-3.8768,-12.247,0.376681,0.799583,-0.0916312,-0.387295,-0.242427
1524968516270579969,3.16229,-3.87297,-12.0318,0.370009,0.799358,-0.0929651,-0.388657,-0.242255
1524968516278985518,3.15681,-3.87744,-12.0461,0.37049,0.799212,-0.0929951,-0.38852,-0.242579
1524968516287229230,3.09122,-3.92993,-12.2437,0.37654,0.7975,-0.0931511,-0.386751,-0.246391
1524968516295610361,3.09397,-3.92777,-12.2376,0.376413,0.797575,-0.0931314,-0.386811,-0.246232
1524968516303947194,3.22374,-3.82197,-12.1335,0.3732,0.801455,-0.0908456,-0.388559,-0.238439
1524968516320645630,3.09978,-3.92318,-12.1722,0.374366,0.797646,-0.0934417,-0.387252,-0.245923
1524968516329008278,3.10009,-3.92293,-12.1619,0.373982,0.797638,-0.0935045,-0.387317,-0.245909
1524968516336773339,3.14679,-3.88558,-12.0925,0.371878,0.79898,-0.0929118,-0.388145,-0.243159
1524968516345783737,3.14847,-3.88422,-12.1018,0.372143,0.799049,-0.0928105,-0.388102,-0.243053
1524968516353974700,3.16063,-3.87433,-12.2236,0.375907,0.799639,-0.0917168,-0.387463,-0.242255
1524968516370509999,3.11826,-3.90851,-12.1995,0.375257,0.798272,-0.0928413,-0.387247,-0.244811
1524968516378901233,3.1185,-3.90832,-12.1913,0.37493,0.798265,-0.0928911,-0.387298,-0.244801
1524968516387164142,3.14552,-3.88661,-12.1237,0.372782,0.798995,-0.0927307,-0.387942,-0.243219
1524968516395594463,3.14638,-3.88591,-12.1217,0.372785,0.799018,-0.0927243,-0.387962,-0.243168
1524968516403805762,3.15194,-3.8814,-12.1625,0.37399,0.799262,-0.0923227,-0.38776,-0.242812
1524968516420518160,3.14282,-3.88879,-12.254,0.376873,0.799133,-0.0919214,-0.387127,-0.243313
1524968516428906410,3.14415,-3.88771,-12.2504,0.376823,0.799169,-0.0919151,-0.387161,-0.243235
1524968516437140548,3.15761,-3.87679,-12.1668,0.374195,0.799447,-0.0921637,-0.387783,-0.242467
1524968516445651017,3.1549,-3.879,-12.1615,0.374039,0.799353,-0.0922612,-0.387791,-0.242633
1524968516453762993,3.1185,-3.90832,-12.1549,0.37383,0.798203,-0.093136,-0.387518,-0.24482
1524968516462020589,3.12147,-3.90595,-12.1558,0.37388,0.798297,-0.0930628,-0.387538,-0.244642
1524968516479172080,3.14487,-3.88713,-12.23,0.376058,0.799157,-0.092034,-0.38729,-0.243202
1524968516487190659,3.14548,-3.88664,-12.2263,0.376079,0.799169,-0.0920452,-0.387317,-0.243168
1524968516495835257,3.17702,-3.8609,-12.1363,0.37326,0.800001,-0.0919198,-0.388137,-0.241306
1524968516503772203,3.17702,-3.8609,-12.1362,0.373268,0.800001,-0.0919201,-0.388138,-0.241306
1524968516520386757,3.12871,-3.90015,-12.2144,0.375659,0.798624,-0.0925052,-0.387246,-0.244179
1524968516528932427,3.12913,-3.89981,-12.2151,0.375589,0.798639,-0.0924907,-0.387245,-0.244154
1524968516537194302,3.14813,-3.88449,-12.2117,0.375462,0.799228,-0.0920813,-0.387428,-0.243015
