timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524972515210953757,3.97669,-0.431224,-12.4334,0.374578,0.987911,-0.0163129,-0.15414,-0.00254524
1524972515219189997,3.97739,-0.433606,-12.4375,0.374702,0.987913,-0.016398,-0.154119,-0.00255815
1524972515227866848,4.00086,-0.426666,-12.4365,0.374642,0.987784,-0.0161258,-0.154975,-0.00253
1524972515235773705,4.01096,-0.427757,-12.441,0.374765,0.987734,-0.0161571,-0.155287,-0.00254014
1524972515244301960,3.97702,-0.434273,-12.4315,0.374486,0.987904,-0.0164303,-0.154174,-0.00256415
1524972515260824029,3.98312,-0.435746,-12.4399,0.374701,0.987884,-0.0164732,-0.154297,-0.00257293
1524972515269185449,4.00154,-0.439467,-12.4422,0.374777,0.987782,-0.0166022,-0.154933,-0.00260404
1524972515277827924,3.93783,0.188004,-12.097,0.365221,0.987619,0.00729716,-0.156699,0.00115779
1524972515285792819,3.94794,0.187062,-12.1038,0.364923,0.987573,0.00725479,-0.15699,0.00115326
1524972515294342771,4.07879,-1.0163,-12.5535,0.377793,0.98696,-0.0379394,-0.156316,-0.00600889
1524972515310912854,4.04014,-0.701019,-12.6392,0.380586,0.987715,-0.0260725,-0.154024,-0.00406574
1524972515319333159,4.05388,-0.661884,-12.5232,0.377042,0.987462,-0.0248109,-0.155844,-0.00391574
1524972515327914704,3.99192,-0.15429,-12.4008,0.37377,0.987883,-0.00584975,-0.155085,-0.000918336
1524972515336146588,4.00205,-0.155383,-12.4052,0.373845,0.987834,-0.00588757,-0.155399,-0.00092619
1524972515344284026,4.07045,-0.515345,-12.4602,0.375201,0.987373,-0.0194016,-0.157188,-0.00308869
1524972515360782892,4.02486,-0.334833,-12.4782,0.376008,0.987775,-0.0126108,-0.155363,-0.0019835
1524972515369320485,4.03756,-0.347128,-12.4769,0.375926,0.987695,-0.01307,-0.155833,-0.0020621
1524972515377727255,4.12433,-0.50168,-12.4665,0.375369,0.987087,-0.0188493,-0.159042,-0.00303704
1524972515385886887,4.13444,-0.502771,-12.4711,0.375484,0.987037,-0.0188785,-0.159348,-0.00304777
1524972515394216108,4.03368,-0.422497,-12.4845,0.376059,0.987689,-0.015899,-0.155599,-0.00250469
1524972515411030061,4.13868,-0.466596,-12.4715,0.37547,0.987039,-0.0175187,-0.159498,-0.00283089
1524972515419389472,3.97186,-0.411479,-12.7221,0.383739,0.988457,-0.0152552,-0.150712,-0.00232598
1524972515427446643,2.84716,-0.0470953,-12.8251,0.388804,0.994039,-0.00178173,-0.109011,-0.000195392
1524972515436178009,3.10909,-0.130417,-12.4717,0.377261,0.992535,-0.00503523,-0.121851,-0.000618161
1524972515444232854,4.92988,-0.834426,-12.2339,0.367159,0.981224,-0.0310065,-0.190268,-0.00601241
1524972515460890885,3.65507,-0.298432,-12.5414,0.378499,0.9899,-0.0113058,-0.141309,-0.00161391
1524972515469183771,3.65862,-0.295637,-12.5499,0.37875,0.989895,-0.011192,-0.141348,-0.00159812
1524972515477785322,4.1568,-0.450062,-12.4951,0.376144,0.986991,-0.0168615,-0.159866,-0.0027311
1524972515485869469,4.1669,-0.451157,-12.4997,0.376359,0.986941,-0.0168919,-0.16017,-0.00274138
1524972515494226484,4.07997,-0.463137,-12.5107,0.376775,0.987451,-0.0173713,-0.156945,-0.00276099
1524972515510889832,4.10382,-0.356255,-12.5107,0.376837,0.987378,-0.0133555,-0.157806,-0.00213452
1524972515519382320,4.11986,-0.366545,-12.5103,0.376783,0.98728,-0.013735,-0.158381,-0.0022034
1524972515527573406,4.19116,-0.505463,-12.5086,0.37657,0.986782,-0.0188976,-0.16092,-0.00308173
1524972515535836603,4.20205,-0.508245,-12.5096,0.37654,0.986719,-0.018994,-0.161294,-0.00310485
1524972515543972844,4.17114,-0.463253,-12.5127,0.376676,0.986934,-0.0173265,-0.160166,-0.00281186
1524972515560827167,2.92167,-0.119046,-12.8561,0.389647,0.993754,-0.00448654,-0.111498,-0.000503385
1524972515569405966,3.27547,-0.208971,-12.3954,0.37468,0.991636,-0.00808092,-0.128808,-0.00104967
1524972515578010667,4.94989,-0.706082,-12.441,0.37327,0.981789,-0.0258688,-0.18814,-0.00495724
1524972515586166852,4.94994,-0.70577,-12.4453,0.373338,0.981801,-0.0258498,-0.188082,-0.00495203
1524972515594318109,4.23044,-0.452029,-12.518,0.376761,0.986609,-0.0168708,-0.162205,-0.00277367
1524972515610749525,4.16355,-0.424742,-12.54,0.37759,0.987054,-0.0158606,-0.159579,-0.00256421
1524972515619347706,4.16506,-0.423908,-12.5462,0.377854,0.987058,-0.0158219,-0.15956,-0.00255764
1524972515627621299,4.15583,-0.441258,-12.5433,0.377773,0.987095,-0.0164767,-0.159265,-0.00265847
1524972515635797537,4.17799,-0.448838,-12.5429,0.377694,0.986962,-0.016749,-0.160053,-0.00271614
1524972515644380539,4.28275,-0.431407,-12.5621,0.378104,0.986405,-0.0160272,-0.163524,-0.00265696
1524972515661008361,4.25813,-0.517663,-12.534,0.377231,0.986435,-0.0192803,-0.162985,-0.0031856
1524972515669095955,4.26251,-0.514641,-12.548,0.37774,0.98644,-0.0191466,-0.162971,-0.00316324
1524972515677716982,4.23837,-0.48274,-12.5426,0.377505,0.986591,-0.0179808,-0.162189,-0.00295592
1524972515685836919,4.24835,-0.483836,-12.547,0.377684,0.986542,-0.0180107,-0.162488,-0.00296645
1524972515694232537,4.25327,-0.434542,-12.5547,0.377921,0.98656,-0.0161662,-0.162574,-0.00266402
1524972515710929854,4.26706,-0.450476,-12.5652,0.378193,0.986491,-0.0167394,-0.162933,-0.00276474
1524972515718946819,4.27475,-0.451757,-12.574,0.378462,0.986463,-0.0167729,-0.163099,-0.00277319
1524972515727870674,4.22208,-0.517986,-12.5489,0.377743,0.986673,-0.0192931,-0.161534,-0.00315859
1524972515735961544,4.23217,-0.519101,-12.5532,0.377852,0.986623,-0.019323,-0.161839,-0.00316962
