timestamp,ctrl_output_x(ned),ctrl_output_y(ned),ctrl_output_z(ned),U1,q_d_w,q_d_x,q_d_y,q_d_z
1524969944008415179,2.46726,-3.07105,-12.5229,0.381381,0.803154,-0.072817,-0.369774,-0.242661
1524969944016760665,2.46249,-2.95094,-13.1014,0.401777,0.806267,-0.0670156,-0.365994,-0.238069
1524969944024572668,2.43668,-2.21652,-13.3296,0.402166,0.823185,-0.0490258,-0.357594,-0.204358
1524969944032914363,2.54091,-2.47842,-12.2944,0.372787,0.818018,-0.0591915,-0.366301,-0.213396
1524969944041349998,2.61855,-4.25948,-11.42,0.346713,0.780986,-0.109371,-0.387345,-0.272699
1524969944058251881,2.92423,-3.57384,-11.7548,0.351809,0.800628,-0.0883619,-0.384555,-0.241666
1524969944066299244,2.92422,-3.57385,-11.7547,0.351782,0.800627,-0.088363,-0.384556,-0.241667
1524969944074643999,1.67515,-1.39357,-13.2068,0.40367,0.829973,-0.03136,-0.338911,-0.192638
1524969944083285021,1.80406,-1.66039,-12.2,0.369124,0.824044,-0.0404802,-0.347365,-0.20545
1524969944091329231,2.84271,-4.11327,-11.406,0.340694,0.7881,-0.104772,-0.389627,-0.260961
1524969944108052333,1.39407,-0.798714,-13.6449,0.417554,0.845698,-0.0171853,-0.325609,-0.146957
1524969944116593376,1.57079,-1.16714,-12.3321,0.374057,0.835213,-0.0279789,-0.33698,-0.178521
1524969944124553330,2.77042,-4.16231,-11.285,0.33704,0.785551,-0.107319,-0.389679,-0.264929
1524969944132947060,2.80228,-4.14092,-12.2888,0.373294,0.788467,-0.0989643,-0.384043,-0.262593
1524969944141252924,1.77059,-1.42182,-13.2129,0.400443,0.831455,-0.0318879,-0.340388,-0.188263
1524969944158147245,2.82926,-3.71834,-12.365,0.370491,0.797022,-0.0882356,-0.380805,-0.249623
1524969944166325127,2.82923,-3.71837,-12.365,0.370435,0.797021,-0.0882361,-0.380805,-0.249625
1524969944174944023,2.24838,-2.56921,-12.9429,0.394629,0.810167,-0.059228,-0.36041,-0.232215
1524969944182953722,2.24865,-2.56898,-12.949,0.397102,0.810184,-0.0591955,-0.360386,-0.232189
1524969944191343062,2.92013,-4.05867,-11.8744,0.354951,0.791463,-0.0995035,-0.387461,-0.256403
1524969944208094343,2.35514,-2.60958,-12.6332,0.38058,0.811386,-0.0613164,-0.363453,-0.228736
1524969944216455501,2.34402,-2.61921,-12.6234,0.380283,0.810899,-0.0616241,-0.363449,-0.229735
1524969944224529715,2.52249,-3.27627,-12.4865,0.37515,0.7999,-0.0778482,-0.372476,-0.247642
1524969944233252789,2.43931,-3.0713,-13.1436,0.403097,0.803147,-0.0696993,-0.366633,-0.24375
1524969944241275318,2.01274,-1.79884,-13.3966,0.405382,0.825517,-0.039863,-0.347444,-0.201806
1524969944258405777,2.87934,-4.08771,-12.2484,0.366452,0.790838,-0.0976755,-0.384922,-0.258442
1524969944266262024,2.87954,-4.08757,-12.2551,0.372357,0.790856,-0.0976242,-0.384886,-0.258427
1524969944274657201,2.5941,-3.18618,-12.5049,0.375661,0.803338,-0.0753304,-0.372533,-0.24133
1524969944282881417,2.59433,-3.186,-12.5118,0.380855,0.803355,-0.0752872,-0.372501,-0.241311
1524969944291312669,2.66468,-3.28698,-12.5221,0.38107,0.802669,-0.0774541,-0.374251,-0.241945
1524969944308461434,2.91197,-4.06453,-11.6346,0.347618,0.790751,-0.101475,-0.388855,-0.257004
1524969944316307120,2.91203,-4.06449,-11.6347,0.347689,0.790753,-0.101473,-0.388855,-0.257002
1524969944324699248,1.95686,-1.59476,-13.1967,0.401457,0.830267,-0.0357394,-0.344962,-0.190222
1524969944332886949,1.95665,-1.59493,-13.1912,0.39933,0.830255,-0.0357582,-0.34498,-0.190249
