timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ref_mask
1524972709267432873,0.135634,1.06966,-0.134258,0,0,0,0,0,0,-0.93495,-0.00094239,-0.0263832,0.353797,10,0,-0.5,0.994172,-0.107805,-0.438891,0,0,0,1
1524972709276547390,0.135624,1.06965,-0.134255,-0.00112452,-0.00116125,0.000355019,0,0,0,-0.934974,-0.000921772,-0.0263742,0.353733,10,0,-0.5,0.994172,-0.107804,-0.438894,0,0,0,1
1524972709286610126,0.135628,1.06967,-0.134255,-0.00112452,-0.00116125,0.000355019,0,0,0,-0.934927,-0.000906877,-0.0262592,0.353866,10,0,-0.5,0.994172,-0.107806,-0.438894,0,0,0,1
1524972709296540732,0.135646,1.06967,-0.134249,0.00290168,0.00162705,-0.00161127,0.161794,0.112049,-0.0790159,-0.93491,-0.000857657,-0.0264081,0.353901,10,0,-0.5,0.994172,-0.107806,-0.438901,0,0,0,1
1524972709306549444,0.135627,1.06967,-0.134244,0.00290168,0.00162705,-0.00161127,0.161794,0.112049,-0.0790159,-0.934954,-0.000908073,-0.0263293,0.353788,10,0,-0.5,0.994172,-0.107805,-0.438907,0,0,0,1
1524972709316512684,0.135634,1.06966,-0.134236,-0.000747431,-0.000239468,0.00081002,0.161794,0.112049,-0.0790159,-0.934956,-0.000886317,-0.0261685,0.353797,10,0,-0.5,0.994172,-0.107805,-0.438917,0,0,0,1
1524972709326513693,0.135628,1.06967,-0.134255,-0.000631589,0.000923614,-0.00219188,-0.140185,-0.0279092,-0.0230364,-0.934948,-0.0010296,-0.0263845,0.3538,10,0,-0.5,0.994172,-0.107806,-0.438894,0,0,0,1
1524972709336522872,0.135629,1.06966,-0.134255,0.000116999,-0.00144653,-2.83633e-05,-0.140185,-0.0279092,-0.0230364,-0.934967,-0.00101595,-0.0262409,0.353762,10,0,-0.5,0.994172,-0.107805,-0.438894,0,0,0,1
1524972709346532621,0.135632,1.06966,-0.134252,0.000146374,0.00021685,0.000215946,0.0312462,-0.0283866,0.0967084,-0.934972,-0.000908577,-0.0260856,0.35376,10,0,-0.5,0.994172,-0.107805,-0.438898,0,0,0,1
1524972709356501818,0.135618,1.06966,-0.134244,0.000146374,0.00021685,0.000215946,0.0312462,-0.0283866,0.0967084,-0.934965,-0.000825619,-0.0263051,0.353762,10,0,-0.5,0.994172,-0.107805,-0.438907,0,0,0,1
1524972709366599970,0.135634,1.06966,-0.134251,0.000148647,2.16214e-05,3.06303e-05,0.0312462,-0.0283866,0.0967084,-0.93496,-0.000891083,-0.0262332,0.35378,10,0,-0.5,0.994172,-0.107805,-0.438899,0,0,0,1
